month,vehicle_class,pqp
2014-12,Category A,64584
2014-12,Category B,72161
2014-12,Category C,57814
2014-12,Category D,4442
2015-01,Category A,65607
2015-01,Category B,72726
2015-01,Category C,59866
2015-01,Category D,4369
2015-02,Category A,66130
2015-02,Category B,74058
2015-02,Category C,58471
2015-02,Category D,4383
2015-03,Category A,63865
2015-03,Category B,73035
2015-03,Category C,54572
2015-03,Category D,4853
2015-04,Category A,62721
2015-04,Category B,71730
2015-04,Category C,55305
2015-04,Category D,5285
2015-05,Category A,63444
2015-05,Category B,72136
2015-05,Category C,56468
2015-05,Category D,5922
2015-06,Category A,66107
2015-06,Category B,74629
2015-06,Category C,55934
2015-06,Category D,6207
2015-07,Category A,66255
2015-07,Category B,75621
2015-07,Category C,53418
2015-07,Category D,6506
2015-08,Category A,62795
2015-08,Category B,70454
2015-08,Category C,50584
2015-08,Category D,6458
2015-09,Category A,59216
2015-09,Category B,65508
2015-09,Category C,49535
2015-09,Category D,6341
2015-10,Category A,56798
2015-10,Category B,61441
2015-10,Category C,47983
2015-10,Category D,6301
2015-11,Category A,56583
2015-11,Category B,60519
2015-11,Category C,45848
2015-11,Category D,6248
2015-12,Category A,56832
2015-12,Category B,59798
2015-12,Category C,44831
2015-12,Category D,6265
2016-01,Category A,56633
2016-01,Category B,58615
2016-01,Category C,45166
2016-01,Category D,6337
2016-02,Category A,53799
2016-02,Category B,56436
2016-02,Category C,45390
2016-02,Category D,6486
2016-03,Category A,49541
2016-03,Category B,50932
2016-03,Category C,45447
2016-03,Category D,6560
2016-04,Category A,46077
2016-04,Category B,47450
2016-04,Category C,45662
2016-04,Category D,6559
2016-05,Category A,45578
2016-05,Category B,46048
2016-05,Category C,45441
2016-05,Category D,6492
2016-06,Category A,46454
2016-06,Category B,48479
2016-06,Category C,44652
2016-06,Category D,6451
2016-07,Category A,49519
2016-07,Category B,51630
2016-07,Category C,44493
2016-07,Category D,6369
2016-08,Category A,51518
2016-08,Category B,54463
2016-08,Category C,46254
2016-08,Category D,6254
2016-09,Category A,53339
2016-09,Category B,56835
2016-09,Category C,48087
2016-09,Category D,6247
2016-10,Category A,52108
2016-10,Category B,56751
2016-10,Category C,48963
2016-10,Category D,6305
2016-11,Category A,51641
2016-11,Category B,56053
2016-11,Category C,48381
2016-11,Category D,6370
2016-12,Category A,51271
2016-12,Category B,55187
2016-12,Category C,48498
2016-12,Category D,6364
2017-01,Category A,50645
2017-01,Category B,52660
2017-01,Category C,48668
2017-01,Category D,6241
2017-02,Category A,50394
2017-02,Category B,52077
2017-02,Category C,48503
2017-02,Category D,6141
2017-03,Category A,49429
2017-03,Category B,50347
2017-03,Category C,48788
2017-03,Category D,6256
2017-04,Category A,50230
2017-04,Category B,52008
2017-04,Category C,48009
2017-04,Category D,6814
2017-05,Category A,50665
2017-05,Category B,52491
2017-05,Category C,44526
2017-05,Category D,7180
2017-06,Category A,50625
2017-06,Category B,54088
2017-06,Category C,37513
2017-06,Category D,7045
2017-07,Category A,48200
2017-07,Category B,52473
2017-07,Category C,34070
2017-07,Category D,6468
2017-08,Category A,45400
2017-08,Category B,50972
2017-08,Category C,35839
2017-08,Category D,6060
2017-09,Category A,44081
2017-09,Category B,50355
2017-09,Category C,40535
2017-09,Category D,5528
2017-10,Category A,42564
2017-10,Category B,50451
2017-10,Category C,42953
2017-10,Category D,5328
2017-11,Category A,41994
2017-11,Category B,50168
2017-11,Category C,45915
2017-11,Category D,5005
2017-12,Category A,42698
2017-12,Category B,51850
2017-12,Category C,51071
2017-12,Category D,5385
2018-01,Category A,42970
2018-01,Category B,52271
2018-01,Category C,50607
2018-01,Category D,5910
2018-02,Category A,42122
2018-02,Category B,50578
2018-02,Category C,46992
2018-02,Category D,6875
2018-03,Category A,39274
2018-03,Category B,44998
2018-03,Category C,40230
2018-03,Category D,7646
2018-04,Category A,38655
2018-04,Category B,40881
2018-04,Category C,37545
2018-04,Category D,7906
2018-05,Category A,38192
2018-05,Category B,38712
2018-05,Category C,35729
2018-05,Category D,7660
2018-06,Category A,38214
2018-06,Category B,37906
2018-06,Category C,33717
2018-06,Category D,7360
2018-07,Category A,37165
2018-07,Category B,36888
2018-07,Category C,32200
2018-07,Category D,7073
2018-08,Category A,34197
2018-08,Category B,34991
2018-08,Category C,31163
2018-08,Category D,6819
2018-09,Category A,32339
2018-09,Category B,33377
2018-09,Category C,30696
2018-09,Category D,6166
2018-10,Category A,30284
2018-10,Category B,32279
2018-10,Category C,29397
2018-10,Category D,5285
2018-11,Category A,29670
2018-11,Category B,32121
2018-11,Category C,28733
2018-11,Category D,4512
2018-12,Category A,27571
2018-12,Category B,31553
2018-12,Category C,28187
2018-12,Category D,3694
2019-01,Category A,26047
2019-01,Category B,31335
2019-01,Category C,28171
2019-01,Category D,3458
